frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
0,1777427213.811492,295.865,8.571,0.008,304.916,warmup,searching,33.65
1,1777427213.841260,24.234,2.408,2.753,29.687,warmup,acquiring,30.24
2,1777427213.921501,26.816,2.069,1.678,80.046,49.092,warmup,tracking,77.10
3,1777427213.936987,2.440,2.102,,15.336,,10.464,warmup,tracking,59.23
4,1777427213.949911,2.459,2.058,,12.785,,7.941,warmup,tracking,38.78
5,1777427213.978701,18.301,2.055,,28.647,,7.980,warmup,tracking,34.22
6,1777427214.011699,22.514,2.056,,32.856,,7.909,warmup,tracking,33.85
7,1777427214.045684,22.798,1.990,,33.849,,7.849,warmup,lost,34.46
8,1777427214.073038,22.161,2.280,2.519,27.224,,,warmup,acquiring,28.47
9,1777427214.152510,28.225,2.008,1.614,79.328,47.135,,warmup,tracking,74.57
10,1777427214.168240,2.092,2.025,,15.587,,11.175,warmup,tracking,56.94
11,1777427214.181270,2.106,2.003,,12.887,,8.467,warmup,tracking,36.60
12,1777427214.212361,20.130,1.987,,30.909,,8.485,warmup,tracking,34.33
13,1777427214.246101,22.630,2.003,,33.597,,8.655,warmup,tracking,34.69
14,1777427214.279892,21.938,2.038,,33.653,,8.526,warmup,lost,35.13
15,1777427214.308647,23.538,2.272,2.558,28.623,,,warmup,acquiring,30.52
16,1777427214.431779,26.198,1.984,1.624,122.986,92.848,,warmup,tracking,120.28
17,1777427214.442757,2.355,2.309,,10.831,,5.957,warmup,tracking,64.54
18,1777427214.465815,2.044,2.050,,22.915,,18.484,warmup,tracking,54.23
19,1777427214.487198,4.120,1.989,,21.239,,14.826,warmup,tracking,42.26
20,1777427214.520453,16.065,2.033,,33.117,,14.720,warmup,tracking,42.14
21,1777427214.553481,14.511,2.032,,32.892,,14.744,warmup,lost,41.80
22,1777427214.573489,14.888,2.208,2.458,19.876,,,warmup,acquiring,28.45
23,1777427214.728502,28.347,2.003,1.682,154.869,122.502,,warmup,tracking,150.10
24,1777427214.743027,2.218,2.055,,14.374,,9.799,warmup,tracking,64.51
25,1777427214.757298,2.070,2.057,,14.130,,9.641,warmup,tracking,45.43
26,1777427214.780791,11.383,2.033,,23.300,,9.578,warmup,tracking,35.57
27,1777427214.814084,21.255,2.008,,33.149,,9.588,warmup,tracking,35.49
28,1777427214.848841,21.418,2.040,,34.614,,9.583,warmup,lost,36.88
29,1777427214.873806,19.802,2.186,2.568,24.816,,,warmup,acquiring,28.49
30,1777427214.997090,28.235,1.994,1.705,123.124,89.376,,0.011,1.411,active,tracking,118.40,-5.76,-1.52,2,1
31,1777427215.009488,2.127,3.894,,12.261,,5.983,,,settle,tracking,64.08,,,,,1
32,1777427215.020990,2.051,3.052,,11.362,,6.019,,,settle,tracking,42.21,,,,,0
33,1777427215.044301,14.867,2.035,,23.165,,6.020,0.006,,active,tracking,32.16,,,,0,
34,1777427215.097795,24.497,2.036,,53.354,,6.003,20.572,,active,tracking,52.29,,,,0,
35,1777427215.111273,4.639,1.995,,13.336,,6.125,0.005,,active,lost,32.40,,,,0,
36,1777427215.140239,24.423,2.029,2.117,28.830,,,0.006,,active,acquiring,28.00,,,,0,
37,1777427215.299048,28.751,2.025,2.077,158.653,119.262,,4.765,1.396,active,tracking,153.46,-8.76,0.96,3,1,
38,1777427215.329011,2.291,2.328,,29.827,,24.897,,,settle,tracking,83.32,,,,,2
39,1777427215.355299,2.190,2.127,,26.135,,21.501,,,settle,tracking,76.24,,,,,1
40,1777427215.381080,2.041,2.060,,25.642,,21.232,,,settle,tracking,68.66,,,,,0
41,1777427215.408840,2.039,2.005,,27.626,,23.263,0.004,,active,tracking,63.06,,,,0,
42,1777427215.436661,1.998,1.980,,27.679,,21.831,0.006,,active,lost,57.50,,,,0,
43,1777427215.447697,2.182,1.983,2.140,10.904,,,4.340,,active,acquiring,35.18,,,,0,
44,1777427215.536284,21.486,2.026,1.957,88.446,62.408,,0.005,,active,tracking,90.41,,,,0,
45,1777427215.555331,2.215,1.978,,18.922,,14.411,0.005,,active,tracking,42.72,,,,0,
46,1777427215.588850,13.992,1.981,,33.372,,12.448,4.628,,active,tracking,42.88,,,,0,
47,1777427215.617635,13.782,1.979,,28.645,,12.517,0.005,,active,tracking,38.28,,,,0,
48,1777427215.655123,20.209,1.993,,37.356,,14.827,0.004,,active,tracking,42.42,,,,0,
49,1777427215.688803,14.316,1.972,,33.535,,12.057,4.396,,active,lost,42.73,,,,0,
50,1777427215.707374,14.008,2.008,2.146,18.428,,,0.005,,active,acquiring,27.93,,,,0,
51,1777427215.830306,28.647,2.052,1.880,122.764,88.379,,0.006,1.426,active,tracking,117.52,-4.20,0.96,2,1,
52,1777427215.855943,2.144,2.207,,25.472,,20.808,,,settle,tracking,76.40,,,,,1
53,1777427215.878500,2.157,2.122,,22.416,,17.858,,,settle,tracking,65.60,,,,,0
54,1777427215.906068,1.938,2.039,,27.424,,18.439,4.668,,active,tracking,59.81,,,,0,
55,1777427215.928786,1.948,2.068,,22.578,,18.242,0.004,,active,tracking,49.14,,,,0,
56,1777427215.959600,9.694,1.993,,30.663,,17.755,0.007,,active,lost,46.61,,,,0,
57,1777427215.979604,10.821,2.021,2.351,19.869,,,4.398,,active,acquiring,33.26,,,,0,
58,1777427216.086826,23.393,1.993,2.092,107.073,79.256,,0.004,,active,tracking,107.11,,,,0,
59,1777427216.111256,2.031,2.022,,24.283,,19.913,0.004,,active,tracking,64.80,,,,0,
60,1777427216.140376,3.492,2.752,,28.654,,17.325,4.720,,active,tracking,60.57,,,,0,
61,1777427216.161467,1.991,2.017,,20.948,,16.576,0.004,,active,tracking,48.28,,,,0,
62,1777427216.191255,11.097,2.038,,29.651,,16.177,0.004,,active,tracking,44.72,,,,0,
63,1777427216.226617,12.044,2.048,,35.218,,16.264,4.514,,active,tracking,46.72,,,,0,
64,1777427216.255865,10.554,2.064,,29.105,,16.159,0.005,,active,tracking,42.60,,,,0,
65,1777427216.288759,14.248,1.998,,32.755,,16.184,0.005,,active,tracking,42.11,,,,0,
66,1777427216.326686,14.678,2.060,,37.781,,16.232,4.478,,active,tracking,46.69,,,,0,
67,1777427216.355697,10.327,2.061,,28.869,,16.152,0.005,,active,tracking,42.34,,,,0,
68,1777427216.388718,14.424,1.989,,32.888,,16.155,0.005,,active,tracking,42.00,,,,0,
69,1777427216.426620,14.748,2.041,,37.757,,16.159,4.475,,active,tracking,46.53,,,,0,
70,1777427216.455784,10.472,2.035,,29.023,,16.191,0.005,,active,tracking,42.33,,,,0,
71,1777427216.488991,14.533,1.997,,33.064,,16.211,0.005,,active,tracking,42.18,,,,0,
72,1777427216.527357,15.196,2.040,,38.224,,16.208,4.448,,active,tracking,47.18,,,,0,
73,1777427216.555795,9.793,2.037,,28.294,,16.137,0.005,,active,tracking,42.25,,,,0,
74,1777427216.590326,14.500,2.003,,34.387,,16.144,0.004,1.402,active,tracking,43.43,-1.44,0.40,2,1,
75,1777427216.622202,13.221,2.038,,31.753,,16.186,,,settle,tracking,41.93,,,,,1
76,1777427216.655894,15.092,1.991,,33.552,,16.155,,,settle,tracking,42.26,,,,,0
77,1777427216.694924,14.504,1.987,,38.886,,16.173,4.488,1.385,active,tracking,47.93,-1.60,0.56,2,1,
78,1777427216.722541,9.004,2.037,,27.488,,16.135,,,settle,tracking,42.17,,,,,1
79,1777427216.755720,14.478,2.031,,33.040,,16.217,,,settle,tracking,41.99,,,,,0
